Date1,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Date2
1/3/2000,ASIANPAINT,EQ,361.2,370,390,370,385,381.65,380.54,3318,1.26E+11,"Monday, May 26, 2008"
1/4/2000,ASIANPAINT,EQ,381.65,380,392,375,390,385.55,383.5,4818,1.85E+11,"Tuesday, May 27, 2008"
1/5/2000,ASIANPAINT,EQ,385.55,371.5,390,371.5,383,383,379.81,2628,99813845000,"Wednesday, May 28, 2008"
1/6/2000,ASIANPAINT,EQ,383,384.9,384.9,374.5,375.1,377.5,379.88,3354,1.27E+11,"Thursday, May 29, 2008"
5/29/1900,ASIANPAINT,EQ,377.5,376,390,370,389,385.7,383.38,9589,3.68E+11,"Friday, May 30, 2008"
1/10/2000,ASIANPAINT,EQ,385.7,415,416.6,409,416.6,415,414.97,60313,2.50E+12,"Monday, June 2, 2008"
1/11/2000,ASIANPAINT,EQ,415,415,423,409,417,415.2,412.51,65570,2.70E+12,"Tuesday, June 3, 2008"
1/12/2000,ASIANPAINT,EQ,415.2,420,448.45,410.05,418.55,417.65,421.46,24854,1.05E+12,"Wednesday, June 4, 2008"
1/13/2000,ASIANPAINT,EQ,417.65,423,429.9,413.05,417.1,418.7,422.4,9169,3.87E+11,"Thursday, June 5, 2008"
1/14/2000,ASIANPAINT,EQ,418.7,410,414.9,408,410.6,410,410.05,64603,2.65E+12,"Friday, June 6, 2008"
1/17/2000,ASIANPAINT,EQ,410,420,421,401,415,411.35,413.72,7537,3.12E+11,"Friday, June 6, 2008"
1/18/2000,ASIANPAINT,EQ,411.35,410,419,410,416,414.05,413.76,7656,3.17E+11,"Tuesday, June 10, 2008"
1/19/2000,ASIANPAINT,EQ,414.05,425,430,417.5,418,419.35,421.93,28800,1.22E+12,"Wednesday, June 11, 2008"
1/20/2000,ASIANPAINT,EQ,419.35,425,428.9,412,422,420.55,418.78,54282,2.27E+12,"Thursday, June 12, 2008"
1/21/2000,ASIANPAINT,EQ,420.55,422,445,421.25,425.9,425.85,429.77,48388,2.08E+12,"Friday, June 13, 2008"
1/24/2000,ASIANPAINT,EQ,425.85,434,459.95,434,459.95,458.4,457.7,55504,2.54E+12,"Monday, June 16, 2008"
1/25/2000,ASIANPAINT,EQ,458.4,470,495.05,467,495.05,494.7,484,45422,2.20E+12,"Tuesday, June 17, 2008"
1/27/2000,ASIANPAINT,EQ,494.7,530,530,460,477,472.95,477.35,33156,1.58E+12,"Wednesday, June 18, 2008"
1/28/2000,ASIANPAINT,EQ,472.95,470,483,465,481,480.65,479.59,48664,2.33E+12,"Thursday, June 19, 2008"
1/31/2000,ASIANPAINT,EQ,480.65,499,499,460,460.5,460.5,461.12,35334,1.63E+12,"Friday, June 20, 2008"
